Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
ZJja016	242	1796949	29909	1620	0.09015	1.00000	0.00000	0.00000	0.99955	0.00023	0.00001	0.00090	0.00090	0.00002	0.99910	0.00090	0.00002	0.00045	0.00023	0.00001	0.99955	0.00023	0.00001	0.00090	0.00090	0.00002	0.00000	0.00000	0.00000
ZJja030	199	1745888	30771	1531	0.08769	1.00000	0.00000	0.00000	0.99956	0.00022	0.00001	0.00088	0.00088	0.00002	0.99912	0.00088	0.00002	0.00044	0.00022	0.00001	0.99956	0.00022	0.00001	0.00088	0.00088	0.00002	0.00000	0.00000	0.00000
ZJal003	124	1698538	30083	1365	0.08036	1.00000	0.00000	0.00000	0.99960	0.00020	0.00001	0.00080	0.00080	0.00002	0.99920	0.00080	0.00002	0.00040	0.00020	0.00001	0.99960	0.00020	0.00001	0.00080	0.00080	0.00002	0.00000	0.00000	0.00000
Zjal004	146	1963409	33345	1490	0.07589	1.00000	0.00000	0.00000	0.99962	0.00019	0.00001	0.00076	0.00076	0.00002	0.99924	0.00076	0.00002	0.00038	0.00019	0.00001	0.99962	0.00019	0.00001	0.00076	0.00076	0.00002	0.00000	0.00000	0.00000
ZJal005	149	1617122	28594	1296	0.08014	1.00000	0.00000	0.00000	0.99960	0.00020	0.00001	0.00080	0.00080	0.00002	0.99920	0.00080	0.00002	0.00040	0.00020	0.00001	0.99960	0.00020	0.00001	0.00080	0.00080	0.00002	0.00000	0.00000	0.00000
ZJal010	60	1224543	22797	901	0.07358	1.00000	0.00000	0.00000	0.99963	0.00018	0.00001	0.00074	0.00074	0.00002	0.99926	0.00074	0.00002	0.00037	0.00018	0.00001	0.99963	0.00018	0.00001	0.00074	0.00074	0.00002	0.00000	0.00000	0.00000
ZJal011	42	1191171	21891	766	0.06431	1.00000	0.00000	0.00000	0.99968	0.00016	0.00001	0.00064	0.00064	0.00002	0.99936	0.00064	0.00002	0.00032	0.00016	0.00001	0.99968	0.00016	0.00001	0.00064	0.00064	0.00002	0.00000	0.00000	0.00000
ZJal012	130	1755418	30939	1300	0.07406	1.00000	0.00000	0.00000	0.99963	0.00019	0.00001	0.00074	0.00074	0.00002	0.99926	0.00074	0.00002	0.00037	0.00019	0.00001	0.99963	0.00019	0.00001	0.00074	0.00074	0.00002	0.00000	0.00000	0.00000
ZJal020	194	1746015	30973	1127	0.06455	1.00000	0.00000	0.00000	0.99968	0.00016	0.00001	0.00065	0.00065	0.00002	0.99935	0.00065	0.00002	0.00032	0.00016	0.00001	0.99968	0.00016	0.00001	0.00065	0.00065	0.00002	0.00000	0.00000	0.00000
ZJst007	200	2095976	34285	1475	0.07037	1.00000	0.00000	0.00000	0.99965	0.00018	0.00001	0.00070	0.00070	0.00002	0.99930	0.00070	0.00002	0.00035	0.00018	0.00001	0.99965	0.00018	0.00001	0.00070	0.00070	0.00002	0.00000	0.00000	0.00000
