ID,tissue.num,Catalogue.num,Institution,Genus,Species,Subspecies,Island.Province,Country,lat,long
ZMOpa001,ZMOpa001,,Field Museum,Zosterops,japonicus,parkesi,Palawan,Philippines, Palawan,8.8183,117.675
ZMOpa002,ZMOpa002,,Field Museum,Zosterops,japonicus,parkesi,Palawan,Philippines, Palawan,8.8183,117.675
ZNni001,ZNni001,,Cincinnati Museum Center,Zosterops,nigrorum,nigrorum,Panay,Philippines, Panay,11.4062,122.1235
ZERxx002,ZERxx002,,UWBM,Zosterops,erythropleurus,,Russia,Russia; Primorsky Krai,46.02,135.25
ZERxx004,ZERxx004,,UWBM,Zosterops,erythropleurus,,Russia,Russia; Primorsky Krai,44.92,131.89
ZERxx005,ZERxx005,,UWBM,Zosterops,erythropleurus,,Russia,Russia; Primorsky Krai,44.3674,133.0265
Zsim23588,KU Tissue Number: 23588,,KU,Zosterops,simplex,,Van Ban Nature Reserve,Asia | Vietnam | Dien Bien,22.386,102.238
Zsim28142,KU Tissue Number: 28142,,KU,Zosterops,simplex,,Ngoc Linh Nature Reserve,Asia | Vietnam | Lao Cai,21.949,104.255
Zsim30897,KU Tissue Number: 30897,,KU,Zosterops,palpebrosus,,Muong Nhe Nature Reserve,Asia | Vietnam | Kon Tum,15.11,107.824
Zpal23498,KU Tissue Number: 23498,,KU,Zosterops,palpebrosus,,Muong Nhe Nature Reserve,Asia | Vietnam | Dien Bien |  |  |  |  |,22.386,102.238
Zpal23522,KU Tissue Number: 23522,,KU,Zosterops,palpebrosus,,Muong Nhe Nature Reserve,Asia | Vietnam | Dien Bien |  |  |  |  |,22.386,102.238
Zmon20893,KU Tissue Number: 20893,,KU,Zosterops,japonicus,,Negros Island, Mt. Bungol,Unplaced | Philippines | Negros Occidental |  |  |  |  |,10.67433,123.18858
Zmon20892,KU Tissue Number: 20892,,KU,Zosterops,japonicus,,Negros Island, Mt. Bungol,Unplaced | Philippines | Negros Occidental |  |  |  |  |,10.67433,123.18858
Zmon20902,KU Tissue Number: 20902,,KU,Zosterops,japonicus,,Negros Island, Mt. Bungol,Unplaced | Philippines | Negros Occidental |  |  |  |  |,10.67433,123.18858
Zmon20909,KU Tissue Number: 20909,,KU,Zosterops,japonicus,,Negros Island, Mt. Marapara,Unplaced | Philippines | Negros Occidental |  |  |  |  |,10.66549,123.17865
Zsim31166,KU Tissue Number: 31166,129026,KU,Zosterops,japonicus,,N/A,Indonesia; Java,-7.447501,110.067813
Zsim31159,KU Tissue Number: 31159,129021,KU,Zosterops,japonicus,,N/A,Indonesia; Java,-7.447501,110.067813
Zmey17876,KU Tissue Number: 17876,112108,KU,Zosterops,japonicus,,Batan Island; Municipality of Basco; Barangay San Antonio, Sitio Chadpidan,Unplaced | Philippines | Batanes |  |  |  |  |,20.47,121.991
Zmey17877,KU Tissue Number: 17877,112109,KU,Zosterops,japonicus,,Batan Island; Municipality of Basco; Barangay San Antonio, Sitio Chadpidan,Unplaced | Philippines | Batanes |  |  |  |  |,20.47,121.991
Zmey17852,KU Tissue Number: 17852,112216,KU,Zosterops,japonicus,,Batan Island; Municipality Basco; Barangay Kayvaluganan; Sitio Masupit,Unplaced | Philippines | Batanes |  |  |  |  |,20.457,121.99
Zmey17922,KU Tissue Number: 17922,112377,KU,Zosterops,japonicus,,Sabtang Island; Barangay Chavayan,Unplaced | Philippines | Batanes |  |  |  |  |,20.285,121.871
Zmey17920,KU Tissue Number: 17920,113064,KU,Zosterops,japonicus,,Sabtang Island; Barangay Chavayan,Unplaced | Philippines | Batanes |  |  |  |  |,20.285,121.871
Zmey17925,KU Tissue Number: 17925,112110,KU,Zosterops,japonicus,,Sabtang Island; Barangay Chavayan,Unplaced | Philippines | Batanes |  |  |  |  |,20.285,121.871
Zmey17923,KU Tissue Number: 17923,112378,KU,Zosterops,japonicus,,Sabtang Island; Barangay Chavayan,Unplaced | Philippines | Batanes |  |  |  |  |,20.285,121.871
Zery28090,KU Tissue Number: 28090,120457,KU,Zosterops,erythropleurus,,Van Ban Nature Reserve,Asia | Vietnam | Lao Cai |  |  |  |  |,21.949,104.255
Zery28091,KU Tissue Number: 28091,120460,KU,Zosterops,erythropleurus,,Van Ban Nature Reserve,Asia | Vietnam | Lao Cai |  |  |  |  |,21.949,104.255
Zery28088,KU Tissue Number: 28088,120458,KU,Zosterops,erythropleurus,,Van Ban Nature Reserve,Asia | Vietnam | Lao Cai |  |  |  |  |,21.949,104.255
Zni10863,KU:10863,97296,KU,Zosterops,nigrorum,,Camiguin Norte,,18.929,121.899
Zni14341,KU:14341,110362,KU,Zosterops,japonicus,,Camiguin Sur,,9.1780167,124.7197
Zni19650,KU:19650,114596,KU,Zosterops,nigrorum,,Luzon,,15.6436167,121.5148667
Zni17984,KU:17984,112603,KU,Zosterops,nigrorum,,Luzon,,14.039,122.786
ZjaDOT-10981,AMNH:DOT-10981,833731,AMNH,Zosterops,palpebrosus,,Vietnam,extract: PRS 2466,22.800794,104.806873
