ID,tissue.num,Catalogue.num,Institution,Genus,Species,Subspecies,Island.Province,Country,lat,long
ZJsi030,ZJsi030,,Cincinnati Museum,Zosterops,simplex,,Guangxi,,,
ZJsi031,ZJsi031,,Cincinnati Museum,Zosterops,simplex,,Guangxi,,,
ZPxx001,ZPxx001,,Cincinnati Museum,Zosterops,palpebrosus,,Singapore,,,
ZPxx002,ZPxx002,,Cincinnati Museum,Zosterops,palpebrosus,,Singapore,,,
ZMxx001,ZMxx001,,Cincinnati Museum,Zosterops,meyeni,,Batanes,,,
ZMxx002,ZMxx002,,Cincinnati Museum,Zosterops,meyeni,,Batanes,,,
ZMxx003,ZMxx003,,Cincinnati Museum,Zosterops,meyeni,,Lanyu,,,
ZMxx004,ZMxx004,,Cincinnati Museum,Zosterops,meyeni,,Lanyu,,,
ZMxx005,ZMxx005,,Cincinnati Museum,Zosterops,meyeni,,Lanyu,,,
ZMxx006,ZMxx006,,Cincinnati Museum,Zosterops,meyeni,,Lanyu,,,
ZMOxx001,ZMOxx001,,Cincinnati Museum,Zosterops,montanus,,Panay,,,
ZMOxx002,ZMOxx002,,Cincinnati Museum,Zosterops,montanus,,Panay,,,
ZMOxx003,ZMOxx003,,Cincinnati Museum,Zosterops,montanus,,Panay,,,
ZMOxx004,ZMOxx004,,Cincinnati Museum,Zosterops,montanus,,Panay,,,
ZMOxx005,ZMOxx005,,Cincinnati Museum,Zosterops,montanus,,Panay,,,
ZMOha001,ZMOha001,,Cincinnati Museum,Zosterops,montanus,halconensis,Mindoro,,,
ZMOwh002,ZMOwh002,,Cincinnati Museum,Zosterops,montanus,whiteheadi,Luzon,,,
ZMOwh003,ZMOwh003,,Cincinnati Museum,Zosterops,montanus,whiteheadi,Luzon,,,
ZMOwh004,ZMOwh004,,Cincinnati Museum,Zosterops,montanus,whiteheadi,Luzon,,,
ZMOwh005,ZMOwh005,,Cincinnati Museum,Zosterops,montanus,whiteheadi,Luzon,,,
ZMOwh006,ZMOwh006,,Cincinnati Museum,Zosterops,montanus,whiteheadi,Luzon,,,
ZMOvu001,ZMOvu001,,Cincinnati Museum,Zosterops,montanus,vulcani,Mindanao,,,
ZMOvu002,ZMOvu002,,Cincinnati Museum,Zosterops,montanus,vulcani,Mindanao,,,
ZMOvu003,ZMOvu003,,Cincinnati Museum,Zosterops,montanus,vulcani,Mindanao,,,
ZMOvu004,ZMOvu004,,Cincinnati Museum,Zosterops,montanus,vulcani,Mindanao,,,
ZMOvu005,ZMOvu005,,Cincinnati Museum,Zosterops,montanus,vulcani,Mindanao,,,
ZMOmo001,ZMOmo001,,Cincinnati Museum,Zosterops,montanus,montanus,Sulawesi,,,
ZMOpa001,ZMOpa001,,Cincinnati Museum,Zosterops,montanus,parkesi,Palawan,,,
ZMOpa002,ZMOpa002,,Cincinnati Museum,Zosterops,montanus,parkesi,Palawan,,,
ZEba001,ZEba001,,Cincinnati Museum,Zosterops,everetti,basilanicus,Mindanao,,,
ZNni001,ZNni001,,Cincinnati Museum,Zosterops,nigrorum,nigrorum,Panay,,,
ZAsu001,ZAsu001,,Cincinnati Museum,Zosterops,atrifrons,surdus,Sulawesi,,,
ZAsu002,ZAsu002,,Cincinnati Museum,Zosterops,atrifrons,surdus,Sulawesi,,,
ZAsu003,ZAsu003,,Cincinnati Museum,Zosterops,atrifrons,surdus,Sulawesi,,,
ZAsu004,ZAsu004,,Cincinnati Museum,Zosterops,atrifrons,surdus,Sulawesi,,,
ZERxx002,ZERxx002,,Cincinnati Museum,Zosterops,erythropleurus,,Russia,,,
ZERxx003,ZERxx003,,Cincinnati Museum,Zosterops,erythropleurus,,Russia,,,
ZERxx004,ZERxx004,,Cincinnati Museum,Zosterops,erythropleurus,,Russia,,,
ZERxx005,ZERxx005,,Cincinnati Museum,Zosterops,erythropleurus,,Russia,,,
Zsim23473,KU Tissue Number: 23473,,KU,Zosterops,simplex/palpebrosus,,Muong Nhe Nature Reserve,Asia | Vietnam | Dien Bien,22.386,102.238
Zsim23588,KU Tissue Number: 23588,,KU,Zosterops,simplex/palpebrosus,,Van Ban Nature Reserve,Asia | Vietnam | Dien Bien,22.386,102.238
